,姓名,性别,出生年份（年）,年龄（岁）,身高(cm),体重(kg),项目,省份,身价
0,陈楠 ,女,1983年,35,197,90,篮球,山东省,100000
1,白发全 ,男,1986年,32,175,64,铁人三项,云南省,100000
2,陈晓佳 ,女,1988年,30,180,70,篮球,江苏省,100000
3,陈倩 ,女,1987年,31,163,54,女子现代五项,江苏省  ,100000
4,曹忠荣 ,男,1981年,37,180,73,男子现代五项,上海市,100000
5,曹缘 ,男,1995年,23,160,42,跳水,北京市,100000
6,曹硕 ,男,1991年,27,180,76,男子三级跳远,河北省  ,100000
7,曾珍 ,女,1993年,25,170,61,花样游泳,四川省  ,100000
8,陈定 ,男,1992年,26,177,61,男子20公里竞走,云南省  ,100000
9,陈颖 ,女,1977年,41,164,75,射击,北京市,100000
10,陈若琳 ,女,1992年,26,158,47,跳水,江苏省,100000
11,德娇娇 ,女,1990年,28,168,56,女子曲棍球,天津市,100000
12,谌龙 ,男,1989年,29,188,78,羽毛球,福建省,100000
13,杜丽 ,女,1982年,36,170,55,射击,山东省  ,100000
14,多布杰 ,男,1994年,24,170,55,田径,西藏自治区,100000
15,柴飚 ,男,1990年,28,183,70,羽毛球,湖南省  ,100000
16,丁彦雨航 ,男,1993年,25,200,91,篮球,新疆维吾尔自治区,100000
17,丁宁 ,女,1990年,28,170,63,乒乓球,黑龙江省  ,100000
18,邓薇 ,女,1993年,25,158,60,举重,福建省,100000
19,冯彬 ,女,1994年,24,184,95,女子铁饼,山东省  ,100000
20,董栋 ,男,1989年,29,168,60,蹦床,河南省  ,100000
21,董国建 ,男,1987年,31,172,60,田径,云南省  ,100000
22,葛曼棋 ,女,1997年,21,160,48,女子短跑,福建省,100000
23,高颂 ,女,1992年,26,191,85,篮球,黑龙江省  ,100000
24,傅园慧 ,女,1996年,22,177,63,游泳,浙江省,100000
25,傅海峰 ,男,1984年,34,181,78,羽毛球,广东省,100000
26,冯珊珊 ,女,1989年,29,173,68,高尔夫,广东省,100000
